1. 失血性休克的“5P”临床表现不正确的是
   E. 严重的败血症和溶血性贫血

1741. 中暑根据发病机制和临床表现可分为以下类型，哪项除外
   A. 热射病
 ->B. 热适应
   C. 热衰竭
   D. 热痉挛
   E. 典型热射病

1742. 关于冠脉循环的血流特点，正确的是
   A. 冠脉血流量占心排血量的8%
 ->B. 冠脉血流量的多少主要取决于心肌的活动
   C. 冠脉血流量的多少主要取决于冠脉的口径
   D. 冠脉血流量的多少主要取决于收缩压的高低
   E. 心率加快，冠脉血流量增加

1743. 机械通气对肺外器官的影响，不包括
   A. 消化道出血
 ->B. 血压升高
   C. 心排血量下降
   D. 颅内压升高
   E. 膈肌功能不全

1744. 乘车时你前面排队的人突然倒在地上，此时你处置的顺序为：①检查患者呼吸②求救③检查患者反应④检查患者脉搏⑤就地CRP
   A. ①②③④⑤
   B. ②③①⑤④
 ->C. ③②①④⑤
   D. ④①③②⑤
   E. ①②⑤③④

1745. 热射病患者高热降温时常用的灌肠溶液为
 ->A. 冰盐水
   B. 冰葡萄糖水
   C. 冰肥皂水
   D. 冰蒸馏水
   E. 冰甘露醇

1746. 足月儿，出生后3小时，吃奶无异常。医生发现他有5～10秒无呼吸动作，无伴皮肤发绀，无心律失常。约每半分钟出现上述症状一次。应做何处理
   A. 弹足底，托背，摇床等刺激
   B. 氨茶碱静脉滴注
   C. 供氧
   D. 持续气道正压给氧
 ->E. 观察，暂不处理

1747. 关于感染性休克患者应用糖皮质激素的依据与方法，不正确的是
   A. 糖皮质激素可以稳定细胞，免受内毒素破坏
   B. 适当应用糖皮质激素可以减少合并症
   C. 糖皮质激素应从大剂量开始
 ->D. 要取得疗效至少要使用5天
   E. 主张早期使用
解析：皮质类固醇类激素可以稳定溶酶体膜及细胞膜，防止溶酶体破裂。故A选项正确。皮质类固醇类激素可以改善微循环、增强心肌收缩力、减轻酸中毒等。故B选项正确。皮质类固醇类激素主张早期使用。故C选项正确。皮质类固醇类激素主张短期使用。故D选项错误。皮质类固醇类激素主张早期使用。故E选项正确。

1748. 急性中毒中，关于血液灌流治疗的描述，不正确的是
   A. 能吸附脂溶性或与蛋白质结合的化学物
   B. 清除血液中巴比妥
   C. 清除百草枯有效
   D. 用于血液中毒物浓度明显增高者
 ->E. 对血液的正常成分无影响

1749. 有机磷农药吸收入人体后，分布浓度最高的是
 ->A. 肝
   B. 心
   C. 肾
   D. 肺
   E. 脾

1750. 临床诊断严重感染，尽快进行积极液体复苏，下面哪项不是6h内要达到的复苏目标
   A. 中心静脉压（CVP）8～12 cmH<sub>2</sub>O
 ->B. 体温恢复正常
   C. 平均动脉压≥65 mmHg
   D. 尿量≥0.5mi/（kg·h）
   E. 中心静脉或混合静脉血氧饱和度（ScvO<sup>2</sup>或SvO<sub>2</sub> ）≥0.70

1751. 对胸骨的不正确描述是
   A. 是扁骨
   B. 位于胸前壁正中
   C. 可分为柄、体和剑突三部分
 ->D. 胸骨角平第3肋
   E. 胸骨内的骨髓终身为红骨髓

1752. 海水淹溺和淡水淹溺均会出现下列哪项改变
 ->A. 缺氧
   B. 血浆渗透压升高
   C. 血浆渗透压降低
   D. 血容量骤增
   E. 溶血

1753. 下列哪种情况需尽早行有创机械通气
   A. 慢性阻塞性肺疾病急性加重期
   B. 急性心源性肺水肿
   C. OSAS
 ->D. 急性呼吸窘迫综合征
   E. 急性吸入性肺损伤

1754. 成人大多数心源性猝死，最常见的为
   A. 心室停搏
 ->B. 室颤
   C. 无脉电活动
   D. 完全性房室传导阻滞
   E. 室速

1755. 《母婴保健法》规定孕产期保健服务内容不包括
 ->A. 终止妊娠
   B. 孕妇、产妇保健
   C. 母婴保健指导
   D. 新生儿保健
   E. 胎儿保健

1756. 永久性心脏起搏器适应证是
   A. 伴有临床症状的完全或高度房室传导阻滞
   B. 有症状的病态窦房结综合征，心室率经常小于50/分钟
   C. 束支-分支水平阻滞，间歇发生二度Ⅱ型房室传导阻滞，有症状者
   D. 颈动脉窦过敏引起的心率减慢伴有症状
 ->E. 以上都是

1757. 引起沙门菌属食物中毒常见的病原菌是
   A. 肠炎、猪霍乱、鸭沙门菌
   B. 猪伤寒、鼠伤寒、肠炎沙门菌
   C. 猪伤寒、火鸡、鸭沙门菌
   D. 牛伤寒、肠炎、鼠伤寒沙门菌
 ->E. 猪霍乱、鼠伤寒、肠炎沙门菌等

1758. 下列关于毒性反应的叙述不正确的是
   A. 用量过大时可出现
   B. 用药时间过长
   C. 机体对药物过于敏感
   D. 多数药物都有一定的毒性
 ->E. 药物选择性低

1759. 关于血小板在生理性止血中的作用的叙述，错误的是
   A. 当血管损伤时才会被激活
   B. 激活的血小板会发生变形、黏附、聚集、释放反应
   C. 激活的血小板内Ca<sup>2+</sup>浓度升高
   D. 形成血小板栓子实现第一期止血
 ->E. 不参与启动凝血过程完成第二期止血

1760. 不能提示存在活动性出血的是
   A. 反复呕吐血性物
   B. 肠鸣音活跃
   C. 监测血色素下降
 ->D. 排黑便间隔延长
   E. 心率增快

1761. 重症患者伴急性肾衰竭时肠外营养每日蛋白摄入最应为
   A. 0.8～1.0 g/（kg·天）
 ->B. 1.2～1.5 g/（kg·天）
   C. 1.5～2 g/（kg·天）
   D. 2.5～3 g/（kg·天）
   E. 2～2.5 g/（kg·天）

1762. 氰化物中毒时，患者的呼吸气味可呈
   A. 烂苹果味
   B. 蒜臭味
   C. 腥臭味
   D. 酚味
 ->E. 苦杏仁味

1763. 新生儿窒息复苏时气管内给予肾上腺素的剂量为
 ->A. 1：1000肾上腺素0.1 ml/kg
   B. 1：10000肾上腺素0.3 ml/kg
   C. 1：10000肾上腺素0.1 ml/kg
   D. 1：10000肾上腺素1 ml/kg
   E. 1：1000肾上腺素1 ml/kg

1764. 下列哪项不引起左心室舒张期容量负荷增加
 ->A. 二尖瓣狭窄
   B. 贫血
   C. 二尖瓣关闭不全
   D. 主动脉瓣关闭不全
   E. 动脉导管未闭

1765. 下列有关急性肝功能衰竭的说法，不正确的是
 ->A. 目前认为，急性肝衰仅指原无肝病的患者所发生的严重肝损害
   B. 预后较差，病死率高
   C. 急性病毒性肝炎是我国引起起急性肝衰的主要原因
   D. 一般认为急性肝衰的发病机制主要是免疫性损伤和化学性损伤参与其发病过程
   E. 不同病因引起的急性肝衰其发病机制也有所不同

1766. 下面关于新医学模式的理解，不正确的是
   A. 新医学模式从生物、心理、社会相结合上认识疾病和健康
   B. 新医学模式从生物、心理、社会诸方面寻找影响健康和疾病的因素
 ->C. 新医学模式标志着人们对健康和疾病的认识达到了顶峰
   D. 新医学模式关注的健康是一种在身体、精神和社会方面的完满状态
   E. 新医学模式从生物、心理、社会诸方面开展医疗卫生保健活动

1767. 成人伤员在短期内失血量超过多少而没急救则可危及生命
   A. 800 ml
   B. 1000 ml
   C. 1200 ml
 ->D. 1500 ml
   E. 1800 ml

1768. 对代谢性H<sup>+</sup>的缓冲主要依靠
 ->A. 缓冲系统
   B. 血浆蛋白缓冲系统
   C. Hb缓冲系统
   D. 磷酸盐缓冲系统
   E. HbO<sub>2</sub>缓冲系统

1769. 以下哪项为MODS发病机制
   A. 细胞凋亡
   B. 内皮细胞功能受损
   C. 细胞病性缺氧
   D. DIC
 ->E. 以上都是

1770. 单人对成人实施CPR时，心外按压与呼吸比为
   A. 15∶2
   B. 5∶1
 ->C. 30∶2
   D. 30∶1
   E. 15∶1
解析：根据2010年美国心脏学会（AHA）和国际复苏联盟（ILCOR）发布心肺复苏和心血管急救指南，无论单人还是双人对成人实施CPR时，心外按压与呼吸比均为30∶2。

1771. 有关简明急性生理学评分描述不正确的是
   A. 简明急性生理学评分系统的发展中产生了两种计算方式
   B. 校准度和分辨度是评价简明急性生理学评分系统的效能的两个指标
 ->C. 简明急性生理学评分系统是根据APACHEⅡ评分系统进一步发展的
   D. SAPSⅡ由SAPSⅡ评分和PHM计算两部分组成
   E. SAPSⅠ均是通过简化APACHEA的变量数直接得到的

1772. 位于脑干腹侧的结构是
   A. 薄束结节
 ->B. 锥体
   C. 菱形窝
   D. 上丘
   E. 下丘

1773. 右束支阻滞的心电图特点为
   A. Ⅰ、aVL导联呈qR波，Ⅱ、Ⅲ、aVF导联呈rS波
   B. Ⅰ导联呈rS波，Ⅱ、III、aVF导联呈qR波，且RⅢ>RⅡ
   C. V<sub>5</sub>、V<sub>6</sub>导联R波宽大，顶部有切迹或粗钝，其前方无q波。V<sub>1</sub>、V<sub>2</sub>导联呈宽阔的QS波或rS波形
 ->D. V<sub>1</sub>、V<sub>2</sub>导联呈rsR，R波粗钝；V<sub>5</sub>、V<sub>6</sub>导联呈qRS，S波宽阔
   E. 以上均不是

1774. 左后分支阻滞的心电图特点为
   A. Ⅰ、aVL导联呈qR波，Ⅱ、Ⅲ、aVF导联呈rS波
 ->B. Ⅰ导联呈rS波，Ⅱ、Ⅲ、aVF导联呈qR波，且RⅢ>RⅡ
   C. V<sub>5</sub>、V<sub>6</sub>导联R波宽大，顶部有切迹或粗钝，其前方无q波。V<sub>1</sub>、V<sub>2</sub>导联呈宽阔的QS波或rS波形
   D. V<sub>1</sub>、V<sub>2</sub>导联呈rsR，R波粗钝；V<sub>5</sub>、V<sub>6</sub>导联呈qRS，S波宽阔
   E. 以上均不是

1775. 重症晚发性医院获得性肺炎抗生素的经验性治疗不正确的是
   A. 哌拉西林/三唑巴坦静脉滴注+环丙沙星静脉滴注
   B. 头孢他啶静脉滴注+环丙沙星静脉滴注
   C. 氨曲南静脉滴注+环丙沙星静脉滴注
   D. 美罗培南静脉滴注+万古霉素静脉滴注
 ->E. 头孢呋辛静脉滴注+复方新诺明口服

1776. 原发性腹膜炎与继发性腹膜炎的主要区别点是
   A. 是儿童或是成年患者
   B. 是第一次发病或多次发病
   C. 致病细菌的种类不同
 ->D. 腹腔有无原发病灶
   E. 病人全身抵抗力的好坏

1777. 下述外周静脉血培养标本留取错误的是
   A. 采血尽量在使用抗生素之前
   B. 24小时内采集2～3次静脉血送培养
   C. 一次静脉采血注入2个培养瓶中视为1份血培养
 ->D. 采血后立即送检，如不能立即送检，需冷藏到冰箱保存
   E. 可疑菌血症或真菌菌血症，血培养持续阴性，可改变血培养方法，以获得罕见的或苛养的微生物

1778. 导尿操作中，下列哪项正确
 ->A. 男性消毒从尿道口开始
   B. 女性消毒从大腿内侧开始，由外向内顺序进行
   C. 导尿管每隔10～14天更换一次
   D. 膀胱过度充盈，应立即导尿，快速放尿
   E. 导尿管管径大小适当，成年人男性F24～26

1779. ARF伴血流动力学不稳定的高危病人，行血液净化应首选
 ->A. 血液滤过
   B. 血浆置换
   C. 血液灌流
   D. 血液透析
   E. 腹膜透析

1780. 有关酸碱平衡的代偿，不正确的是
 ->A. 有可能会出现过度代偿
   B. 肾代偿的极限为BE≤15 mmol/L
   C. 肺代偿的极限为PaCO<sub>2</sub>为15～20 mmol/L
   D. 肺快肾慢
   E. 代偿的消退亦遵循肺快肾慢

1781. 电击伤的并发症包括
   A. 神经系统病变
   B. 孕妇电击后常发生死胎和流产
   C. 单侧或双侧白内障
   D. 视力障碍
 ->E. 以上都是

1782. 血管外肺水正常值为
   A. 0～3.0 ml/kg
   B. 3.0～7.0 ml/kg
 ->C. 7.0～10 ml/kg
   D. 10～15 ml/kg
   E. 15～20 ml/kg

1783. 急性CO中毒时首要的治疗措施是
 ->A. 氧气疗法，迅速纠正缺氧
   B. 防止脑水肿
   C. 促进脑细胞代谢
   D. 冬眠疗法
   E. 防治感染

1784. DIC患者出血与下列哪一项因素关系最为密切
   A. 凝血因子合成减少
   B. 凝血因子激活障碍
 ->C. 凝血因子大量消耗
   D. 抗凝物质增多
   E. 血管壁通透性升高

1785. 下列哪种药物是苯二氮䓬类药物的拮抗药
   A. 纳洛酮
 ->B. 氟马西尼
   C. 氟哌啶醇
   D. 氯丙嗪
   E. 哌替啶

1786. 关于条件致病菌的叙述，下列哪项正确
   A. 仅发生于机体免疫功能降低时的机体感染
   B. 均由非致病的正常菌群所导致
   C. 由细菌毒力增强的致病菌所导致
   D. 感染的原因是细菌发生耐药变迁
 ->E. 机体免疫功能降低和滥用抗生素是其常见诱因

1787. 急性中毒时，下列哪种毒物中毒可用2%碳酸氢钠洗胃
   A. 敌百虫中毒
   B. 硫酸中毒
 ->C. 汞中毒
   D. 硝酸中毒
   E. 盐酸中毒

1788. 异嗜性抗原是
   A. 来源于人体的抗原物质
 ->B. 一类与种属特异性无关的，存在于人与动物、植物、微生物之间的交叉抗原
   C. 同种间不同个体的特异性抗原
   D. 针对自身成分的抗原
   E. 合成抗原

1789. 关于呼吸机触发敏感度的设置，下列哪项是正确的
 ->A. 压力触发常为-1.5～-0.5 cmH<sub>2</sub>O，流速触发常为1～5L/min
   B. 压力触发常为-2～-1 cmH<sub>2</sub>O，流速触发常为1～5L/min
   C. 压力触发常为-0.5～-1 cmH<sub>2</sub>O，流速触发常为1～5L/min
   D. 压力触发常为-3～-2 cmH<sub>2</sub>O，流速触发常为1～5L/min
   E. 压力触发常为-3～-0.5 cmH<sub>2</sub>O，流速触发常为1～5L/min

1790. 幼儿在侧卧位时腰穿测量颅内压力的正常值是
   A. 0.98～1.96kPa（100～200 mmH<sub>2</sub>O）
 ->B. 0.39～0.98kPa（40～100 mmH<sub>2</sub>O）
   C. 0.69～1.76kPa（70～180 mmH<sub>2</sub>O）
   D. <0.98kPa（<100 mmH<sub>2</sub>O）
   E. >1.76kPa（>180 mmH<sub>2</sub>O）

1791. 长期机械通气的病人吸痰或鼻饲时有胃内容物从气道吸出或咳出，需警惕什么
 ->A. 气管-食管瘘
   B. 胃动力差导致食物反流
   C. 气管插管误入食管
   D. 气管插管被痰痂或血块阻塞造成窒息
   E. 肺部感染

1792. 在微循环中，主要行使物质交换功能的是
   A. 后微动脉
   B. 通血毛细血管
 ->C. 真毛细血管
   D. 动-静脉吻合支
   E. 微静脉

1793. 对于原因不明的惊厥、抽搐患者，诊断毒鼠强中毒时，关于哪项鉴别诊断是错误的
   A. 脑部疾病所致继发性癫痫
   B. 破伤风、狂犬病惊厥等疾病
   C. 主要需与氟乙酰胺中毒鉴别
   D. 病毒性脑炎
 ->E. 不需要与精神分裂症、酒精性戒断综合征相鉴别

1794. 中毒伴肾功能不全或昏迷患者不宜使用下列哪种方法
   A. 吸氧
   B. 硫酸钠导泻
 ->C. 硫酸镁导泻
   D. 输液
   E. 洗胃

1795. 可引起健康人出现窦性心动过速的是
   A. 吸烟、饮茶或咖啡
   B. 饮酒
   C. 体力活动
   D. 情绪激动
 ->E. 以上都是

1796. 关于气胸的处理，哪项是错误的
   A. 气胸量小于20%，症状轻微，不需排气
 ->B. 如肺萎缩时间长，宜用高负压排气
   C. 交通性气胸应作胸腔闭式引流
   D. 血气胸可作低位胸腔插管引流
   E. 复发性气胸，可用滑石粉注入胸腔造成粘连

1797. 上止血带的时间不宜超过
   A. 30分钟
   B. 1小时
   C. 1.5小时
   D. 2小时
 ->E. 3小时

1798. 下列哪项不是重症哮喘的表现
 ->A. 可平卧
   B. 意识模糊
   C. 胸腹部矛盾运动
   D. 奇脉
   E. 气急不能讲话

1799. 择期电转复前，如果患者正在服用洋地黄类药物，应在复律前停服洋地黄类药物多长时间
   A. 12小时以上
   B. 48小时以上
 ->C. 24～48小时
   D. 18小时以上
   E. 36小时以上

1800. 心肺脑复苏中长期生命支持中的治疗方法中错误的是
   A. 自主循环恢复后的体温管理
   B. 呼吸管理、血流动力学支持
   C. 抽搐及肌阵挛的控制
   D. 肾衰竭的预防及内环境稳定的维持
 ->E. 以上都不是

1801. 关于中暑患者的处理，不正确的是
 ->A. 昏迷者，口服清凉含盐饮料
   B. 抽搐者，静脉或肌肉注射地西泮
   C. 肌肉痉挛时采取局部按摩
   D. 室内温度应控制在20℃～25℃
   E. 高热患者可在大血管处放置冰袋

1802. 正常基础状态氧摄取率为
   A. 0.10～0.18
   B. 0.19～0.25
 ->C. 0.25～0.33
   D. 0.34～0.40
   E. 0.41～0.50

1803. 脑死亡的定义是
   A. 脑细胞广泛性失去功能
   B. 全脑功能丧失，脑循环终止
   C. 神经系统已经不能再维持集体内环境的稳定性
 ->D. 包括脑干在内全脑功能不可逆地停止
   E. 深昏迷，自主呼吸消失

1804. 以下是定植于人体各部位的正常菌群，但不包括
   A. 常居菌
   B. 过路菌
   C. 条件致病菌
   D. 机会致病菌
 ->E. 结核分枝杆菌

1805. 高排低阻型休克可见于
   A. 失血性休克
   B. 创伤性休克
   C. 过敏性休克
   D. 心源性休克
 ->E. 脓毒性休克
解析：脓毒性休克表现为心排量增加，但外周循环阻力下降。

1806. 属于面颅骨的是
 ->A. 下鼻甲骨
   B. 筛骨
