1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
540. 患者男性，7岁，呼吸困难，乏力，杵状指（趾），超声心动图表现为胸骨旁大动脉短轴观显示“双环”征，室间隔连续中断，主动脉在右前方，发自右心室，肺动脉在左后方，发自左心室，二尖瓣反流。超声诊断应为
 ->A. 完全型大动脉转位
   B. 矫正型大动脉转位
   C. 右室双出口
   D. Taussig-Bing综合征
   E. 左室双出口

541. 患者，女，65，卵巢外腹膜浆液性乳头囊腺癌Ⅲc期术后5年余。超声检查：胰头、胰体形态大小正常，胰尾与脾门间可见7.6 cm×7.7 cm圆形不均质回声区，内回声由无-低-中等回声，CDFI：周边可见血管绕行。超声提示
   A. 胃平滑肌肉瘤
   B. 脾混合性占位（转移癌）
   C. 左肾上腺混合性占位（转移癌）
 ->D. 胰尾混合性占位（转移癌）
   E. 胰尾囊腺瘤

542. 患者男性，30岁。超声检查时，发现肝右叶有一圆形无回声暗区，囊壁光整菲薄，后方回声明显增强，最可能的诊断是
   A. 肝血管瘤
   B. 肝内门静脉横断面
 ->C. 肝囊肿
   D. 肝内肝静脉横断面
   E. 肝棘球蚴囊肿

543. 男性，48岁。近两年来有心慌、憋气，进行性加重。二维超声见心脏扩大，左心大明显呈球形，室间隔及左室后壁似乎变薄，但测值属正常范围，室壁运动普遍低，各瓣膜无增厚，EPSS明显增大，呈高容量，低动力型血流动力学表现，心尖不可见附壁血栓光团，CDFI：二尖瓣轻度反流。最可能的诊断是
   A. 冠心病，心肌硬化型
   B. 冠心病并左心衰
 ->C. 扩张型心肌病
   D. 甲亢性心脏病
   E. 尿毒症性心脏病

544. 男性，56岁。无意发现无痛性肉眼血尿就诊。超声检查示膀胱三角区乳头状隆起性病灶3 cm× 2 cm，基底部较宽，不随体位移动。诊断首先要考虑
   A. 膀胱结石
   B. 膀胱内血凝块
   C. 血管瘤
 ->D. 膀胱癌
   E. 膀胱内异物

545. 患者，男性，32岁，突发性左季肋部绞痛4小时，无发热，血象正常。尿常规红细胞20—30个。超声检查见左肾集合系统轻度分离，该侧输尿管上段约0.6 cm，其远侧段显示不清。该病例不能除外
   A. 肾癌
   B. 急性肾盂肾炎
   C. 急性肾小球肾炎
 ->D. 输尿管结石
   E. 肾平滑肌脂肪瘤

546. 中年男性患者，乙肝病史十余年，超声显示肝实质回声增强，光点粗大，右叶近边缘处实质内有一0.8cm×0.9cm大小的强回声结节，无晕征，无明显包膜，无对周围血管挤压等肿瘤效应，最可能的诊断是
 ->A. 肝硬化结节
   B. 肝错构瘤
   C. 肝内局限性脂肪沉积
   D. 肝血管瘤
   E. 小肝癌

547. 患者女性，18岁，心悸，乏力，呼吸困难，超声心动图诊断为鲁登巴赫综合征，其表现有
   A. 房间隔缺损合并三尖瓣狭窄
 ->B. 房间隔缺损合并二尖瓣狭窄
   C. 室间隔缺损合并二尖瓣狭窄
   D. 室间隔缺损合并二尖瓣脱垂
   E. 房间隔缺损合并肺动脉瓣狭窄
解析：房间隔缺损常单独存在，有时与其他畸形合并存在。如合并二尖瓣病变，此时又称鲁登巴赫综合征（Lutembacher syndrome）。目前所指的鲁登巴赫综合征是指凡有心房水平除原发孔房间隔缺损处的左向右分流（包括继发孔房间隔缺损，卵圆孔未闭，部分型肺静脉异位引流），合并二尖瓣及其装置病变者，均属此类病。二尖瓣的病变可为先天性，亦可为后天性二尖瓣病变，包括狭窄、脱垂、腱索和乳头肌功能障碍等。其他的合并畸形有三房心、二尖瓣闭锁、法洛三联症、肺静脉畸形引流及大动脉转位等。

548. 女性，30岁。因右上腹疼痛，食欲下降就诊。超声检查所见：肝大，肝实质回声尚均匀，门静脉分支管壁回声增强，过度显示，胆囊壁增厚呈双层结构，胆囊充盈不佳，胆囊内有沉积性回声点。最可能的诊断为
 ->A. 急性肝炎
   B. 胆囊炎
   C. 慢性肝炎
   D. 肝豆状核变性
   E. 急性肝坏死
解析：此患者具有急性肝炎典型的超声表现，肝大，胆囊征象及肝内血管变化门静脉及其分支显示增多，管壁回声增强，可呈小双管状或小等号状。

549. 患者，男性，52岁，心脏杂音就诊，自诉感觉活动耐量较前减少伴活动后胸闷。查体：血压164/68 mmHg，心率82次/分，明显的舒张期杂音及收缩期杂音<img src="https://exam.mvwchina.com/upload/2016/12/99de3e99f1ff4637836e2209690ae7a7.jpg "/>。根据经胸超声心动图所示，下列诊断正确的是
   A. 唯一的外科干预是换瓣手术
   B. 保守的方法似乎不太适合
   C. 升主动脉内径＞5.5～6 cm 才需要置换
 ->D. 进一步行冠状动脉造影
   E. 以上都不正确

550. 患者男性，近两年来有心慌、憋气，进行性加重，二维超声见心脏扩大，左室扩大明显呈球形，室间隔及左室后壁似乎变薄，但测值属正常范围，室壁运动普遍减低，各瓣膜无增厚，EPSS明显增大，呈高容量、低动力型血流动力学表现，心尖部可见附壁血栓光团，彩色多普勒血流显像：二尖瓣轻度反流，最可能诊断为
   A. 冠心病，心肌硬化型
   B. 冠心病并左心衰
 ->C. 扩张型心肌病
   D. 甲亢性心脏病
   E. 尿毒症性心脏病

551. 患者男性，43岁，肝炎病史15年，近年AFP升高，超声所见：肝右叶萎缩，左叶增大，肝表面不光滑，肝实质回声增粗、增强、不均匀、肝静脉扭曲变细，肝右前叶可见一个28mm×30mm的低回声实性占位，边缘有弱回声晕，最可能的诊断是
   A. 肝腺瘤
 ->B. 结节型肝癌
   C. 肝囊肿
   D. 肝转移癌
   E. 胆管细胞癌
解析：结节型肝癌肿瘤体呈一个或多个圆球状或椭圆球状，瘤体直径≤5cm，轮廓线整齐，多有边缘弱回声晕，小于3cm的结节以弱回声多见。

552. 患儿男性，8岁，左腰部胀痛半年。超声特征：左肾中度积水，左输尿管未见异常，肾图显示左肾梗阻曲线，右肾正常。本病可诊断为
   A. 输尿管结石
   B. 输尿管肿瘤
 ->C. 输尿管先天畸形
   D. 膀胱肿瘤
   E. 以上均是

553. 患者，男46岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0 cm，肿物内无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾肿瘤
   E. 以上都不正确

554. 患者，男，46岁，脾脏大小形态正常，回声不均匀，实质内探及散在分布的多个粟粒样强回声点，边界清楚，可提示诊断为
   A. 脾恶性淋巴瘤
 ->B. 脾结核
   C. 脾梗死
   D. 脾错构瘤
   E. 脾转移癌
解析：脾脏内钙化点多见于脾结核，其余选项声像图上常表现为低回声或高回声。

555. 患者，男，40岁，自述进食年糕后感觉上腹部不适就诊，既往患急性胰腺炎治疗后好转1年。化验检查：血淀粉260 U，超声检查：胰腺轮廓显示欠清，表面不平，回声强弱不均，主胰管间断显示，呈串珠样，显示段内径0.35 cm。超声提示
   A. 先天性主胰管增宽
   B. 急性胰腺炎主胰管扩张
 ->C. 慢性胰腺炎 主胰管轻度扩张
   D. 正常胰腺声像图
   E. 胰腺癌

556. 患者32岁，女性，三个月前发现左侧颈部无痛性肿物，肿物进行性增大，近2周皮肤出现破溃，超声声像图表现为形态不规则、表面不等突起、呈分叶状减弱回声，似为多个融合而成，CDFI：血流信号极为丰富，最可能的诊断为
   A. 颈部淋巴结炎
   B. 颈部淋巴结结核
 ->C. 颈部淋巴瘤
   D. 颈部海绵状血管瘤
   E. 颈部神经纤维瘤

557. 男性，27岁。体检发现肝内1.7 cm×1.6 cm大小单发高回声结节，边界清晰，后方回声轻度增强，其内及周边无明显血流信号。最可能的诊断是
   A. 肝硬化结节
   B. 局限性脂肪肝
   C. 肝转移癌
   D. 原发性肝癌
 ->E. 血管瘤
解析：肝血管瘤常较小，直径一般在1～3 cm，单发的多见，回声偏高，多在体检时发现。

558. —位右上腹不适患者，超声检查发现胆囊颈部有10 mm强光团，后伴声影，胆囊壁黏膜层连续，胆囊腔内可见一边界尚清、形态不规则的稍低回声团块，随体位改变略有移动，其内未见明显血流信号，可能的诊断为
   A. 胆囊结石伴胆囊癌
   B. 胆囊结石伴胆囊腺瘤
 ->C. 胆囊结石伴陈旧性胆汁团
   D. 胆囊结石伴胆囊穿孔
   E. 肝肿瘤浸润胆囊腔

559. 女性，45岁。发现颈部包块2个月，超声检查表现为颈部血管的实质性包块。其疾病是
 ->A. 颈动脉体瘤
   B. 真性动脉瘤
   C. 夹层动脉瘤
   D. 假性动脉瘤
   E. 颈动脉扭曲
解析：颈动脉体瘤是发生于颈动脉小体的肿瘤，体积较小时位于颈总动脉分又处的外鞘内，体积较大时围绕于颈总、颈内与颈外动脉周围，为实性包块，它明显不同于其他血管性疾病表现的血管壁膨出、血管内膜分离和血管本身扭曲。

560. 患者，女，60岁，胃癌病史，超声提示：肝内多发低回声区，内回声欠均匀，周边可见声晕，实验室检查癌胚抗原明显增高，最可能的诊断是
   A. 肝细胞肝癌
   B. 肝肉瘤
   C. 肝血管瘤
 ->D. 转移癌
   E. 肝多发囊肿

561. 患者男性，47岁，心悸，乏力，心绞痛。若要通过测量二尖瓣环运动速度，定量评价其左心功能，应采取何种超声技术
   A. 超声造影
   B. 彩色多普勒超声
 ->C. 多普勒组织成像
   D. 二次谐波技术
   E. 聚焦技术
解析：聚焦技术可使聚焦区超声束变细，减少远场声束扩散，改善图像的横向和（或）侧向分辨力。超声造影包括右心造影、左心造影和心肌造影。可识别解剖结构，诊断心腔与大血管的各种分流与反流，检测心肌梗死的危险区，侧支循环是否建立，判断心肌存活，测定冠脉血流储备，评价介入治疗效果等。二次谐波技术是由于二次谐波的强度比基波低，但频率高，噪音信号少，信/噪比高，分辨率高。彩色多普勒超声可测量二尖瓣口血流速度，不能测量二尖瓣环运动速度，而多普勒组织成像是采用低通滤波器，使速度低、能量高的组织如心肌室壁、瓣环等结构被显示，而血流不被显示。检测室壁及瓣环的运动速度、方向，从而定量评价其左心功能。

562. 患者，男性，50岁，体检：有明显的颈静脉怒张，听诊可闻及4级收缩期杂音。根据经胸超声心动图心尖四腔心切面所示<img src="https://exam.mvwchina.com/upload/2016/12/bb04a2e229c641df97c5fdc0a76905a8.jpg "/>，下列选项正确的是
 ->A. 三尖瓣前叶腱索断裂并重度反流
   B. 右侧三房心
   C. 三尖瓣下移畸形
   D. 三尖瓣赘生物并穿孔伴重度反流
   E. 以上都不正确

563. 患者男性，32岁，发现阴囊增大半年，无不适，超声显示：阴囊内液体三面包绕于睾丸，但不影响精索，最可能是
   A. 交通型鞘膜积液
   B. 婴儿鞘膜积液
   C. 精索鞘膜积液
 ->D. 睾丸鞘膜积液
   E. 睾丸囊肿
解析：鞘膜积液的分类：液体三面包绕于睾丸，但不影响精索为睾丸鞘膜积液；液体除包绕睾丸外，还包绕精索为婴儿型鞘膜积液；仅包绕精索者为精索鞘膜积液。

564. 患者，男性，42岁，活动后气短1年余，加重1周，无胸痛。心电图显示左束支传导阻滞。经胸超声心动图检查<img src="https://exam.mvwchina.com/upload/2016/12/fc46c3c1f53f4b498cdbec9e79447526.jpg "/>，应诊断为
   A. 特发性扩张型心肌病
   B. 肥厚型心肌病
 ->C. 心肌致密化不全
   D. 尿毒症性心脏病
   E. 肺心病

565. 女性，白细胞、中性粒细胞增高，下腹压痛，白带增多，超声检查见盆腔囊性肿块，应考虑
   A. 宫颈糜烂
 ->B. 盆腔脓肿
   C. 结核性盆腔炎
   D. 慢性盆腔炎
   E. 慢性阴道炎

566. 患者，男，58岁，自述肝区轻度不适，一直生活于四川，既往患有血吸虫病史13年，超声综合描述：肝回声明显不均，全肝布满结节，呈“网格状”改变。超声提示
   A. 脂肪肝
 ->B. 血吸虫病肝纤维化
   C. 肝包虫病
   D. 肝多发占位
   E. 乙肝肝硬化

567. 患者女性，18岁，心悸，乏力，呼吸困难，超声心动图诊断为鲁登巴赫综合征，其表现有
   A. 房间隔缺损合并三尖瓣狭窄
 ->B. 房间隔缺损合并二尖瓣狭窄
   C. 室间隔缺损合并二尖瓣狭窄
   D. 室间隔缺损合并二尖瓣脱垂
   E. 房间隔缺损合并肺动脉瓣狭窄

568. 女性，40岁。间断无痛性血尿1年。超声检查声像图示右肾中下部6 cm× 5 cm中等偏低回声肿块，边界清楚，内部回声欠均匀，肿块向肾表面隆起，并推挤肾窦，右肾静脉内实填。首先要考虑的诊断是
   A. 肾血管平滑肌脂肪瘤
   B. 肾母细胞瘤
 ->C. 肾细胞癌
   D. 肾盂癌
   E. 肾腺瘤

569. 患者，男性，35岁，查体时听诊可闻及右侧第二肋间收缩期杂音，超声心动图提示肺动脉瓣轻度狭窄，瓣口压差20 mmHg，按照上述描述，下列选项正确的是
   A. 在未来10年中，他应行手术或肺动脉瓣气囊瓣膜成形术
   B. 每年一次经胸超声心动图和经食管超声检查
   C. 心导管测定更准确明确肺动脉压力
 ->D. 收缩期肺动脉瓣呈“圆顶征”
   E. 以上都不正确

570. 患者女性，30岁，哺乳期发现双乳肿块，超声显示双乳内各有数个大小不等的无回声区，边界光滑，后方回声增强，最可能是
   A. 乳腺炎
   B. 乳腺脓肿
 ->C. 乳腺囊肿
   D. 乳腺增生
   E. 乳腺腺瘤

571. 患者高烧后两侧耳下区肿大、发红、不适，超声显示：局部增大，回声减低，血流信号略多，最可能是
   A. 腮腺肿瘤
   B. 颈淋巴结肿大
 ->C. 急性腮腺炎
   D. 何杰金肿瘤
   E. 甲状腺炎

572. 男性，2岁。因腹部包块就诊。超声检查显示左上腹巨大实性肿块，边界尚清，回声不均，见不规则的透声区，与肾脏关系密切，其上残存肾脏积水。最可能的诊断是
   A. 肾上腺肿瘤
   B. 肾癌
   C. 肾盂癌
 ->D. 肾母细胞瘤
   E. 腹膜后肿瘤

573. 患者，男性，70岁，因主动脉瓣狭窄需行外科手术就诊。既往长期活动后呼吸困难，近期加重，有高血压、高血脂、糖尿病病史。体格检查：主动脉瓣听诊区2/6级收缩期喷射样杂音，向左侧颈动脉传播，第二心音分离，脉搏64次/分，既往超声心动图显示心腔大小正常范围，射血分数70%，心排血量正常，主动脉瓣重度狭窄，瓣口面积0.68 cm ，平均压差30 mmHg，下一步措施是
   A. 进行外科干预
   B. 冠状动脉造影然后外科干预
 ->C. 复查经胸超声
   D. 食管超声
   E. 以上都不正确

574. 患者，女，65，卵巢外腹膜浆液性乳头囊腺癌Ⅲc期术后5年余。超声检查：胰头、胰体形态大小正常，胰尾与脾门间可见7.6 cm×7.7 cm圆形不均质回声区，内回声由无-低-中等回声，CDFI：周边可见血管绕行。超声提示
   A. 胃平滑肌肉瘤
   B. 脾混合性占位（转移癌）
   C. 左肾上腺混合性占位（转移癌）
 ->D. 胰尾混合性占位（转移癌）
   E. 胰尾囊腺瘤

575. 男性，50岁。肝炎病史18年，于肝右叶探及一较大的高回声团块，其内可见形态不规则无回声区，周边可见低回声晕环绕，CDFI检查示团块内部及周边可见条状及簇状彩色血流分布，脉冲宽度（PW）示为动脉频谱V<sub>max</sub>（cm/s）。下列诊断可能性较大的是
