1. 烧伤后引起气性坏疽的致病菌是
   B. 发现肿瘤广泛转移而不能切除时，行全胃切除术
   C. 术前药物治疗有效者，行高选择性胃迷走神经切断术
   D. 术前药物治疗无效者，行全胃切除术
   E. 根治手术能明显延长患者的生存时间

957. 交通性鞘膜积液与腹股沟斜疝的主要鉴别要点是
 ->A. 交通性鞘膜积液透光试验阳性
   B. 腹股沟斜疝压迫内环时内容物不再复出
   C. 交通性鞘膜积液立位时不易触及睾丸
   D. 腹股沟斜疝卧位或立位可触及睾丸
   E. 交通性鞘膜积液挤压时不似斜疝可骤然恢复
解析：交通性鞘膜积液与腹股沟斜疝的主要鉴别是透光试验，既简单，又准确。

958. 下列肝棘球呦病采取肝叶或肝部分切除术的指征，错误的是
   A. 局限于肝左外叶或右半肝，体积巨大、孤立，囊壁坚厚或钙化不易塌陷，而病侧肝组织已萎缩者
   B. 局限于肝一叶的多发性囊肿者
   C. 引流后囊腔经久不愈，遗留瘘管者
   D. 囊肿感染后形成厚壁的慢性脓肿者或局限的肝泡状棘球蚴病者
 ->E. 感染严重，引流量多或与较大胆管相 通，残腔大者

959. 下列对慢性淋巴细胞性甲状腺炎的诊断标准中，错误的是
   A. 甲状腺弥漫性肿大，质坚韧，表面不平或有结节
 ->B. 出现T<sub>3</sub>、T<sub>4</sub>升高，摄碘率下降呈分离现象
   C. TGAb、TMAb阳性、血TSH升高
   D. 甲状腺扫描有不规则浓聚或稀疏
   E. 过氯酸钾排泌试验阳性
解析：目前对桥本病的诊断标准尚未统一，1975年Fisher提出5项指标诊断方案，5项中符合2项者可拟诊为桥本病，具有4项者可确诊。一般在临床中只要具有典型桥本病的临床表现，血清TGAb、TPOAb阳性即可诊断。对临床表现不典型者，抗甲状腺抗体呈高滴度可诊断。但仍应行必要的SPECT检查，并给予甲状腺素诊断性治疗，必要时应以FNAC或冷冻切片组织学检查确诊。桥本病的甲状腺功能检查，不会出现T<sub>3</sub>、T<sub>4</sub>升高，摄碘率下降分离现象，故选项B错误。

960. 有关腹腔镜结直肠手术的应用指征，下列错误的是
   A. 癌前病变
   B. 直肠脱垂
   C. 炎性肠道病
   D. 中晚期癌的探查、分期、姑息治疗
 ->E. 癌前状态

961. 有关小肝癌的临床特点，下列不正确的是
   A. 膨胀性生长为主，多有纤维包膜形成
   B. 病灶局限，通常为单结节
   C. 癌栓形成与卫星结节发生率低
   D. 以DNA含量2倍体为主，癌细胞分化Ⅰ～Ⅱ级
 ->E. 直径≤5 cm

962. 以下对急性化脓性胆管炎的概述中，不正确的是
   A. 致病菌主要为大肠埃希菌、克雷伯菌、粪链球菌和厌氧菌
   B. 胆管梗阻和胆管化脓性感染并存
   C. 可发生感染性休克、肝肾衰竭或DIC
   D. Charcot三联征或Reynolds五联征
 ->E. 以上都是

963. 下列对腹膜后肿瘤的临床表现和治疗的描述中，错误的是
   A. 以占位、压迫症状为主，可伴有内分泌功能紊乱
   B. 95%的可触及腹部或盆腔肿块
   C. 治疗以手术切除为主
   D. 术后复发者，只要情况许可，恶性程度不高，可再次以至多次手术
 ->E. 大多数对放疗和化疗有较好的效果

964. 对于遗传性球形红细胞增多症，不适宜行脾切除术的情况是
 ->A. ＜4岁
   B. 脾大不严重
   C. 黄疸
   D. 贫血
   E. 急性发作时，出现溶血危象

965. 有关烧伤创面的处理，下列不正确的是
   A. 宜先行烧伤创面简单清创
   B. 肢体小面积Ⅱ度烧伤者，宜用包扎治疗
 ->C. 创面局部外用广谱抗生素，以防止细菌感染
   D. 头部、颈部创面宜用暴露法
   E. 全身多处烧伤可用包扎和暴露相结合的方法

966. 新生儿烧伤后往往对革兰阴性杆菌无保护作用，主要是由于
 ->A. 只有IgG抗体，没有IgM抗体
   B. 只有IgM抗体，没有IgG抗体
   C. IgG抗体、IgM抗体均没有
   D. 不能产生IgG抗体
   E. 不能产生IgM抗体

967. 关于血栓性静脉炎与静脉血栓形成的区别，下列选项不正确的是
   A. 前者局部炎症反应明显，后者起病急，患肢肿痛明显
   B. 前者位于浅静脉，后者位于深静脉
   C. 前者一般无静脉回流障碍，后者常伴有回流障碍
   D. 前者以对症治疗为主，后者以抗凝、溶栓为主
 ->E. 前者易并发肺栓塞，后者常后遗深静脉功能不全
解析：血栓性静脉炎极少并发肺栓塞，而静脉血栓形成常并发肺栓塞，常后遗深静脉功能不全。

968. 如果胆囊收缩功能良好，在服脂肪餐后多少时间内胆囊收缩至原大小的1/3
   A. 15分钟
 ->B. 30分钟
   C. 45分钟
   D. 60分钟
   E. 1小时30分钟

969. 阑尾穿孔所致腹膜炎常见的致病菌是
 ->A. 类杆菌
   B. 变形杆菌
   C. 铜绿假单胞菌
   D. 大肠埃希菌
   E. 金黄色葡萄球菌

970. Whipple三联征是指
   A. 低血糖症状，发作时血糖低于0.8 mmol/L，给予葡萄糖后症状缓解
   B. 低血糖症状，发作时血糖低于1.8 mmol/L，给予葡萄糖后症状缓解
 ->C. 低血糖症状，发作时血糖低于2.78 mmol/L，给予葡萄糖后症状缓解
   D. 低血糖症状，发作时血糖低于5.8 mmol/L，给予葡萄糖后症状缓解
   E. 低血糖症状，发作时血糖低于6.8 mmol/L，给予葡萄糖后症状缓解

971. 胆管内压力超过胆汁分泌压时，即可抑制胆汁分泌和发生胆血反流，此时的压力一般为
   A. 5 cmH<sub>2</sub>O
   B. 9 cmH<sub>2</sub>O
   C. 13 cmH<sub>2</sub>O
   D. 17 cmH<sub>2</sub>O
 ->E. 20 cmH<sub>2</sub>O

972. 下列哪项是原发性下肢静脉曲张的严重并发症
   A. 深静脉瓣膜功能不全
   B. 深静脉血栓
 ->C. 溃疡
   D. 丹毒
   E. 血栓性静脉炎
解析：原发性下肢静脉曲张病史较长者，在小腿尤其是踝部可出现皮肤营养性改变，包括皮肤萎缩、脱屑、色素沉着、皮肤和皮下组织硬结、湿疹和难愈性溃疡，有时可并发血栓性静脉炎和急性淋巴管炎。

973. 乳腺癌骨转移首选的检查方法是
 ->A. 骨放射性核素扫描（ECT）
   B. MRI或CT检查
   C. X线摄片
   D. PET-CT检查
   E. 骨胶原代谢物检测
解析：骨放射性核素扫描（ECT）是乳腺癌骨转移初筛的诊断方法，对于ECT扫描异常的患者，应针对可疑骨转移灶部位进行MRI、CT或X线检查，以确诊骨转移并了解骨破坏的严重程度。PET-CT不常规推荐用于骨转移诊断。

974. 以下Child肝功能分级，C级为
 ->A. 血清胆红素＞51.3 μmol/L；血清白蛋白 ＜30 g/L，谷丙转氨酶＞51.3 IU/L，凝血
酶原时间延长值＞6，有肝性脑病，大量腹水，难控制
   B. 血清胆红素＜34.2 μmol/，血清白蛋白 ＞35 g/L，谷丙转氨酶＜40 IU/L，凝血酶 原时间延长值1～3，无肝性脑病，无腹水
   C. 血清胆红素34.2～51.3 μmol/，血清白蛋白30～35 g/L，谷丙转氨酶40～80 IU/ L，凝血酶原时间延长值4～6，无肝性脑病，少量腹水，易控制
   D. 血清胆红素＜51.3 μmol/，血清白蛋白 ＜30 g/L，谷丙转氨酶80 IU/L，凝血酶原时间延长值＜6，有肝性脑病，中量腹水，难控制
   E. 血清胆红素＞34.2 μmol/，血清白蛋白 20～30 g/L，谷丙转氨酶40～60 IU/L，凝血酶原时间延长值＜6，有肝性脑病，大量腹水，易控制

975. 早期乳腺癌往往不具备典型的临床表现，不易引起重视，常无意中或通过体检发现，有关乳腺癌的典型体征，下列选项错误的是
   A. 单发乳腺无痛性肿块，质硬，边界不清，表面不光滑，不易推动
 ->B. 患有导管内乳头状瘤、乳腺增生、乳腺导管扩张症
   C. 乳头溢液，乳头糜烂、破溃、回缩
   D. 皮肤“橘皮样改变”
   E. 同侧腋窝淋巴结肿大，质硬、可推动

976. 直肠下1/3锐器穿透伤的处理原则为
   A. 清创缝合创口，直肠周围间隙引流
   B. 尽早清创，一期缝合创口
   C. 清创延期缝合创口，直肠周围间隙引流
   D. 乙状结肠袢式造口，冲洗远端肠腔，修补损伤
 ->E. 乙状结肠单腔造口，冲洗远端肠腔关闭，修补损伤，直肠周围间隙引流
解析：直肠下1/3损伤，引流直肠周围间隙是重要的处理措施之一，因直肠周围间隙大，厌氧菌混合感染和肠内粪便不断污染，可引起广泛组织坏死及严重的毒血症。因此，应行乙状结肠近端造瘘，远端冲洗关闭，修补损伤，直肠周围间隙引流。

977. 下列不符合吸入性损伤临床表现的是
   A. 声嘶与喘鸣
   B. 气管支气管黏膜充血水肿
   C. 低氧血症
 ->D. 伤后迅速并发感染
   E. 并发肺水肿

978. 未来最有希望成为特大面积深度烧伤救治成功保障的创面修复材料是
   A. 同种异体皮肤
   B. 转基因猪皮
   C. 脱细胞异体真皮
   D. 生物合成敷料
 ->E. 组织工程化皮肤

979. 下列选项中，不符合动脉瘤诊断依据的是
   A. 搏动性肿块，伴震颤和血管杂音，压迫瘤体近端动脉肿块缩小
   B. 压迫神经肢体感觉异常、放射痛和运动障碍，压迫静脉和淋巴管远端肢体肿胀
   C. 远端肢体缺血性疼痛、苍白、动脉搏动减弱或消失
 ->D. Trendelenburg试验阳性
   E. 超声、CT、动脉造影检查有助诊断

980. 对先天性肛门直肠畸形患者，下列哪项检查有助于外科医生判断是否行结肠造瘘术
   A. 腹部X线平片
   B. 窦道造影检查
   C. CT检查
 ->D. 倒立侧位X线平片
   E. 腹部B超

981. 恶性肿瘤是原发于胃壁淋巴滤泡的恶性肿瘤，关于其临床特点，下列错误的是
   A. 多见于胃体、胃窦部、小弯侧和胃后壁
   B. 临床表现和胃癌相似
   C. 采取手术、化疗为主的综合治疗
   D. 预后与肿瘤大小、浸润范围、组织类型以及治疗方式有关
 ->E. 胃B细胞性恶性淋巴瘤恶性程度高，预后差

982. 肠系膜上动脉起始部发生栓塞，可引起下列哪段肠管发生血运障碍
   A. 全部小肠
   B. 远端小肠及右半结肠
   C. 屈氏韧带以下的小肠
 ->D. 屈氏韧带以下的小肠及右半结肠
   E. 右半结肠

983. 下列腹股沟斜疝的处理中，错误的是
   A. 婴幼儿斜疝适宜疝囊高位结扎术
 ->B. 超过12小时的嵌顿疝，宜行手法复位
   C. 1周岁内的婴儿采取非手术治疗
   D. 疝修补不适合绞窄性斜疝
   E. 手术目的是还纳疝内容物，切除多余疝囊，重建腹股沟管道
解析：腹股沟斜沛一旦嵌顿，须急诊手术。如嵌顿时间较短（3～5小时），估计尚未形成绞窄，可试行手法复位。

984. 下列肝内胆管的解剖特点，错误的是
   A. 凡左、右肝胆管开口以上者，称为肝内胆管系统
   B. 肝内胆管和肝内门静脉、肝动脉同被包在Glisson鞘内
   C. 包括毛细胆管、小叶间胆管、肝段和肝叶胆管、左肝管和右肝管的肝内部分
   D. 左右肝管为一级分支
 ->E. 各肝段为二级分支，左内、左外叶和右前、右后叶为三级分支

985. 哪项指征对鉴别重症胰腺炎最有价值
   A. 上腹剧痛
   B. 肠鸣音弱
   C. 呕吐
 ->D. Cullen征
   E. 腹胀
解析：腹痛、肠鸣音弱，呕吐、腹胀等均为胰腺炎的常见症状，但不是特异症状，Cullen征为胰液外溢经腹膜后组织外渗至皮下，造成局部毛细血管破裂出血，体表出现大面积青紫瘀斑，是重症胰腺炎较为特异症状。

986. 根据国际抗癌协会的TNM分期，以下乳腺癌的分期，错误的是
   A. 0期：TisN<sub>0</sub>M<sub>0</sub>
   B. Ⅰ期：T<sub>1</sub>N<sub>0</sub>M<sub>0</sub>
   C. Ⅱ期：T<sub>0～1</sub>N<sub>1</sub>M<sub>0，</sub>T<sub>2</sub>N<sub>0～1</sub>M<sub>0，</sub>T<sub>3</sub>N<sub>0</sub>M<sub>0</sub>
   D. Ⅲ期：T<sub>0～2</sub>N<sub>2</sub>M<sub>0，</sub>T<sub>3</sub>N<sub>1～2</sub>M<sub>0，</sub>T<sub>4</sub>任何<sub></sub>NM<sub>0，</sub>任何TN<sub>3</sub>M<sub>0</sub>
 ->E. Ⅳ期：T<sub>4</sub>N<sub>3</sub>M<sub>0</sub>，包括M<sub>1</sub>任何TN

987. 肝囊型包虫病主要并发症
   A. 继发感染
 ->B. 囊肿破裂
   C. 胆道大出血
   D. 膈下脓肿
   E. 以上均不对
解析：肝囊型虫病最常见的并发症是囊肿破裂和破入胆道，囊肿越大越容易破裂。

988. 下列选项中，不属于胰腺炎基本病理改变的是
 ->A. 梗阻
   B. 坏死
   C. 出血
   D. 充血
   E. 水肿

989. 下列急性非结石性胆囊炎的临床特点中，不正确的是
 ->A. 病因明确，容易诊断
   B. 临床表现与结石性胆囊炎相似
   C. 病程发展迅速，一般在24小时内即发展成坏疽性胆囊炎
   D. B超或CT检查胆囊内无结石，胆囊膨胀，以胆囊壁增厚为可靠征象
   E. 一经确诊，应尽早手术治疗

990. 急性梗阻性化脓性胆管炎，最常见的梗阻原因是
   A. 胰头癌
   B. 胆管下端炎性狭窄
   C. 胆道先天畸形
 ->D. 胆管结石
   E. 胆管癌

991. 下列单纯性下肢静脉曲张的治疗方法，不宜采取的是
 ->A. 带瓣静脉段移植术
   B. 高位结扎大隐静脉或小隐静脉
   C. 剥脱曲张的大隐或小隐静脉，结扎功能不全的交通静脉
   D. 穿弹力袜或弹力绷带
   E. 硬化剂注射和压迫疗法

992. 下列肝癌破裂出血的治疗方法中，错误的是
   A. 肝动脉栓塞
   B. 肝动脉结扎
   C. 肝叶切除术
   D. 局部压迫填塞
 ->E. 门静脉结扎

993. 关于电烧伤的救治措施，下列不正确的是
   A. 立即心肺复苏
   B. 立即脱离电源
   C. 必须了解触电经过及细致查体
 ->D. 限制补液，避免加重心肺负担
   E. 焦痂及深筋膜切开减张

994. 多发性内分泌瘤综合征（MENS）中的Ⅱ型是指
   A. 为单侧或双侧肾上腺嗜铬细胞瘤，并有甲状旁腺亢进症
   B. 皮肤苔藓淀粉样变出现于甲状腺髓样癌之前
   C. 甲状旁腺、胰岛细胞及腺垂体同时出现的肿瘤
 ->D. 以甲状腺髓样癌、嗜铬细胞瘤、甲状旁腺功能亢进并存的综合征
   E. 以甲状腺髓样癌、嗜铬细胞瘤、多发性神经节瘤并存的综合征

995. 腹腔镜诊治脾动脉瘤的适应证是
   A. 瘤体直径＜3 cm，无左上腹或上腹疼痛症状者
   B. 瘤体直径≥3 cn，无左上腹或上腹疼痛
症状者
   C. 瘤体直径＜3 cm，伴左上腹或上腹疼痛症状者
 ->D. 瘤体直径≥3 cm，伴左上腹或上腹疼痛症状者
   E. 无论瘤体大小，只要有左上腹或上腹疼痛症状者

996. 乙状结肠破裂，立位腹部X线平片，下列部位出现半月形气影，哪个正确
   A. 右侧腹部
   B. Dauglas腔
   C. 回盲部
 ->D. 膈下
   E. 左侧腹
解析：空腔脏器损伤，典型X线特点是膈下积气。

997. 关于甲状腺功能亢进的临床特征，以下错误的是
 ->A. TSH增高，T<sub>3</sub>、T<sub>4</sub>、FT<sub>3</sub>、FT<sub>4</sub>降低
   B. 甲状腺合成释放过多甲状腺激素
   C. 基础代谢率增高
   D. 交感神经兴奋性增强
   E. 甲状腺弥漫性肿大，突眼征
解析：甲状腺功能亢进时，甲状腺分泌的T<sub>3</sub>、T<sub>4</sub>、FT<sub>3</sub>、FT<sub>4</sub>明显升高，由于甲状腺和垂体轴的反馈抑制作用，TSH降低。

998. 胆囊结石的诊断依据，不包括
 ->A. 上腹部不适、隐痛、饱胀、嗳气
   B. 右上腹压痛、莫菲（Murphy）征阳性
