1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
解析：胃肠镜是诊断消化道出血病因、部位和出血情况的首选方法。

670. 女性，27岁。甲状腺肿大伴手抖、消瘦、脉速1个月。停经6个月，诊断妊娠。宜行治疗为
 ->A. 手术治疗
   B. 中断妊娠后药物治疗
   C. 同位素治疗
   D. 药物治疗
   E. 中断妊娠后手术治疗

671. 男性，58岁，无痛性肉眼血尿8个月，膀胱镜检查提示膀胱三角区右3 cm团块，双合诊检查：肿物坚硬，诊断为膀胱浸性癌。病人一般情况良好，最佳的治疗方
   A. 回肠膀胱术
   B. 膀胱全部切除及回肠膀胱术
   C. 膀胱部分切除术
   D. 膀胱全部切除及输尿管皮肤造口术
 ->E. 放射治疗后行膀胱全部切除及回肠膀胱术

672. 男性，50岁，反复上腹痛伴消瘦，X线钡餐检查发现胃窦呈持续性向心性狭窄伴充盈缺损，首选的进一步处理
   A. 治疗后复查
 ->B. 胃镜及活检
   C. B超
   D. 胃液分析
   E. 手术探查
解析：胃镜是诊断胃癌的重要方法，胃癌的最终确诊有赖于病理诊断。因此答案选B。

673. 男性，40岁。临床诊断为等渗性缺水、低钾血症。经补液、补充钾盐后，出现脉率缓慢，手足感觉异常，肌无力，恶心、呕吐症状。查体：血压90/60 mmHg，脉搏50次/分。神志淡漠，心音减弱。ECG检查：T波高而尖，QT时间延长。临床判断为高钾血症。下列紧急治疗措施中，不宜采取的是
   A. 立即停止钾盐的输入，静注5%碳酸氢钠60～100 ml
   B. 25%葡萄糖溶液100～200 ml，按5 g糖加入11U胰岛素进行静脉滴注
 ->C. 硫酸镁1 g，加入5%葡萄糖溶液或生理盐水500 ml中静滴
   D. 呋塞米20～60 mg加入50%葡萄糖40 ml静注
   E. 10%葡萄糖酸钙20 ml静脉注射

674. 女性，47岁。腹部X线平片见右上腹有一不透光的圆形阴影。采用下列哪一项检查来鉴别是肾结石还是胆囊结石
   A. 腹部侧位片
 ->B. B超
   C. IVU
   D. 逆行肾盂造影
   E. CT

675. 女性，26岁。发现右颈前部肿物2年，突然增大伴局部疼痛3天。查体：右颈前明显隆起，右甲状腺下极可触及一直径3 cm圆形包块，随吞咽上下移动，触痛。可初步诊断为
   A. 甲状腺腺瘤继发感染
   B. 甲状腺腺瘤囊性变
   C. 慢性淋巴细胞性甲状腺炎
   D. 慢性纤维性甲状腺炎
 ->E. 甲状腺腺瘤囊内出血

676. 男性，52岁。脓血便半年余，纤维结肠镜发现距肛门11 cm处直肠前壁有一分叶状息肉，直径1 cm，基底宽，病理证实为直肠息肉恶性变，手术方式应选择
   A. 腹会阴联合直肠癌根治术
 ->B. 经腹直肠癌切除术
   C. 经肛门局部切除术
   D. 乙状结肠造瘘术
   E. 骶后径路局部切除术

677. 男性尿道由以下几部分组成，除了
 ->A. 膀胱颈口
   B. 前列腺部
   C. 膜部
   D. 球部
   E. 阴茎部

678. 男性，10岁。逐渐出现右侧肢体活动障碍，步态不稳，向右侧偏斜，饮水呛咳，并出现吞咽困难10个月。查体：左侧眼部以下面纹变浅，口角向右侧抬高。悬雍垂向右侧偏斜，双侧咽腭反射迟钝。右侧肢体肌力4级，肌张力稍高。头颅CT检查：颅后窝高密度圆形阴影，其内可见分层钙化，脑干受压向右后方移位，四脑室偏移。最可能的诊断是
   A. 脊索瘤
   B. 脑膜瘤
   C. 神经鞘瘤
 ->D. 巨大型动脉瘤
   E. 颅咽管瘤

679. 男性，34岁。右小腿外侧皮肤擦伤2天后，出现畏寒，发热，局部疼痛。查体：体温38.5℃。右小腿肿胀，压痛明显，表皮发红，指压稍褪色，红肿边缘界限不清楚。临床诊断为皮下蜂窝织炎。应用抗生素治疗首选
 ->A. 新青霉素或头孢菌素类
   B. 大环内酯类
   C. 氨基糖苷类
   D. 喹诺酮类
   E. 多黏菌素B

680. 男性，32岁，上呼吸道感染、发热36小时后出现肉眼血尿，尿常规：蛋白阴性、尿红细胞满视野，血肌酐76 μmol/L。最可能的诊断是
   A. 急性肾小球肾炎
   B. 急进性肾小球肾炎
 ->C. IgA肾病
   D. 尿路感染
   E. 尿路结石

681. 患儿男，6岁。在家中不慎将暖水瓶打碎而致双下肢烫伤，现场急救正确的方法是
 ->A. 立即脱掉浸有热水的衣裤，用凉毛巾湿敷创面，送医院
   B. 立即拨打急救中心电话，等待送往医院
   C. 立即用毛毯包裹双下肢，等待急救人员
   D. 立即用自来水冲洗降温
   E. 立即送往医院

682. 女性，37岁。诊断为巨大结节性甲状腺肿，在气管内插管麻醉下行双侧甲状腺大部切除术，术后当晚出现呼吸困难、烦躁、发绀，脉率130次/分，血压170/100 mmHg，伤口引流渗血不多，颈部不肿大，可能是
   A. 气管塌陷
   B. 喉头水肿
   C. 甲状腺危象
 ->D. 切口出血压迫
   E. 双侧喉返神经损伤

683. 男性，40岁。吸烟多年，脉管炎已有一年余，现已发展成疼痛严重不能入睡。检查局部苍白干冷，肌肉萎缩，足背动脉搏动消失。初步诊断为
   A. 血栓闭塞性脉管炎局部缺血期
 ->B. 血栓闭塞性脉管炎营养障碍期
   C. 血栓闭塞性脉管炎坏疽期
   D. 深部静脉血栓形成
   E. 大动脉栓塞

684. 患者男，38岁。左下腹被拖拉机压伤后3天。入院时有弥漫性腹膜炎，感染性休克表现。经积极抗休克治疗后，行剖腹探查术。术中发现腹腔内有约800 ml黄色浑浊脓性渗出液，降结肠下段有一直径约0.5 cm大小穿孔，有少量肠液溢出。正确的手术方式是
   A. 降结肠穿孔修补，冲洗腹腔，腹腔引流术
   B. 左半结肠切除术
   C. 降结肠穿孔处肠段切除，端端吻合术，冲洗腹腔，腹腔引流术
   D. 降结肠穿孔外置，冲洗腹腔，腹腔引流术
 ->E. 横结肠单腔造瘘，远端关闭，穿孔修补，冲洗腹腔，腹腔引流术

685. 患者男，40岁。上腹部疼痛伴反酸、嗳气10年，内科治疗效果不明显。胃镜检查发现胃窦部一直径约2.O cm大小溃疡灶伴出血，活检病理报告慢性炎症。根据患者情况，治疗上应采取
   A. 腹腔镜抗反流术
 ->B. 腹腔镜迷走神经切断术
   C. 腹腔镜胃大部切除术
   D. 腹腔镜选择性迷走神经切断术
   E. 腹腔镜选择性迷切加半胃切除术

686. 女性，28岁。急性阑尾炎并腹膜炎术后第5天，腹部持续性胀痛不适，伴发热、恶心、呕吐，肛门停止排便排气。腹部检查：全腹膨胀，未见肠型、蠕动波。全腹压痛，轻度反跳痛。肠鸣音消失。立位X线腹部平片可见小肠及结肠均有充气及液平面。据此可诊断为
   A. 急性不完全性结肠梗阻
   B. 急性机械性高位小肠梗阻
   C. 急性机械性低位小肠梗阻
   D. 急性完全性机械性小肠梗阻
 ->E. 麻痹性肠梗阻

687. 女性，32岁。甲状腺次全切除术后，饮水时出现呛咳，无声音嘶哑，初步诊断是
   A. 喉返神经损伤
   B. 交感神经损伤
   C. 气管损伤
 ->D. 食管损伤
   E. 喉上神经损伤

688. 男性，50岁。大便带血4个月。纤维肠镜检查确诊为乙状结肠癌。CT扫描检查发现肝右后叶4 cm大小孤立转移灶。治疗宜选择
   A. 乙状结肠癌切除+肝转移癌微波固化治疗
   B. 乙状结肠癌切除+肝动脉介入化疗栓塞
   C. 乙状结肠癌切除+肝转移癌注射无水酒精
   D. 乙状结肠癌切除+肝转移癌射频消融术
 ->E. 乙状结肠癌切除+肝转移癌切除

689. 患者，男性，10岁。发现有腹部包块1个月。体检：右上腹包块，质软。超声显示右肾严重积水，肾皮质厚度0.4 cm。静脉肾盂造影显示左右肾及输尿管不显影，肾输尿管显影正常。经超声引导右肾盂造瘘及造影显示肾盂输尿管连接部狭窄，经右肾造瘘管引流尿量每天约400 ml，引流尿的比重为1.005～1.010。试问该病儿最合理的处理为
 ->A. 右肾切除术
   B. 拔除肾造瘘管维持原状
   C. 右肾盂输尿管连接部成形术
   D. 永久性右肾盂造瘘术
   E. 右肾及输尿管全切除术

690. 女性，30岁，体重56kg。外伤性肝破裂引起急性出血约1000 ml，经手术止血，并在应用晶体液和人工胶体液补足血容量（血压已稳定）的基础上，宜输注下列何种血液制品
 ->A. 红细胞悬液
   B. 全血
   C. 洗涤红细胞
   D. 新鲜冰冻血浆
   E. 冷沉淀

691. 患者，男性，68岁。间断全程无痛性肉眼血尿半年，无其他不适。查体：双侧肾区未及肿物，无叩击痛，右侧阴囊可触及蚯蚓状团块，平卧后不消失。下列哪项检查最有助于明确诊断
   A. 静脉肾盂造影
 ->B. B超检查
   C. 膀胱镜检查
   D. 阴囊多普勒超声
   E. 腹部X线平片
解析：考虑肾癌的可能性最大，故选择B超检查。

692. 女性，34岁。发现左乳肿物3个月，近期增大明显。检查左乳外上象限可及3 cm×3 cm肿块，质硬，活动差，左腋下未及肿大淋巴结。行乳腺细针穿刺活检为坏死组织。进一步处理为
   A. 密切观察一段时间
   B. 换用粗针再穿刺活检
   C. 切取部分肿块组织做活检
 ->D. 完整切除肿物及其周围组织活检
   E. 以上都不正确

693. 女性，45岁。Ⅱ期乳腺癌行改良根治术，腋淋巴结（+），ER（-），PR（-），其术后主要的辅助治疗是
 ->A. 化疗
   B. 放疗
   C. 口服三苯氧胺
   D. 去势疗法
   E. 免疫治疗

694. 男性，35岁，农民，2小时前在劳动中无诱因突然出现上腹部剧烈刀割样疼痛，迅速遍及全腹，不敢直腰走路。肝浊音界消失，全腹有明显的腹膜刺激征，肠鸣音消失。最可能的诊断是
   A. 急性阑尾炎穿孔腹膜炎
   B. 胆囊穿孔腹膜炎
 ->C. 胃十二指肠溃疡穿孔
   D. 较窄性肠梗阻
   E. 急性重症胰腺炎

695. 患者女，36岁。发现左乳包块3个月，近期增大明显。查体：左乳外上象限可扪及3 cmx3 cm肿块，质硬，活动差，左腋下未扪及肿大淋巴结。行乳腺细针穿刺活检，病理报告为坏死组织。下一步应采取的措施是
   A. 再次行细针穿刺活检
   B. B超检查
   C. 切取部分肿块组织病检
 ->D. 完整切除肿物及其周围组织病检
   E. 钼靶X线摄片
解析：根据患者体征情况，应高度怀疑乳腺癌，故选D。

696. 男性，40岁。胃不适，嗳气，消化不良3个月，经检查确诊为早期胃癌，首选的治疗方案是
   A. 根治术
   B. 姑息手术
 ->C. 根治术加化疗
   D. 化疗
   E. 放疗

697. 男性，13岁。脐周疼痛伴恶心，呕吐6小时，腹痛转移至右下腹1小时。查体：体温38.2℃。右下腹麦氏点局限性压痛、反跳痛。白细胞计数18.0×10<sup>9</sup>/L，N83%。此时应采取的治疗措施是
   A. 禁食，静脉输液
   B. 应用抗生素抗感染治疗
   C. 对症治疗
 ->D. 急诊手术
   E. 病情无好转，考虑手术治疗

698. 男性，38岁。右耳听力下降1年。CT检查发现右侧小脑脑桥角区类圆形占位病变增强扫描病灶呈均一强化，右侧内听道扩大。诊断考虑为
 ->A. 听神经鞘瘤
   B. 三叉神经鞘瘤
   C. 脑膜瘤
   D. 胶质瘤
   E. 表皮样囊肿

699. 患者，男性，25岁。因肾病综合征入院。查体：无贫血，肾功能正常，有严重低蛋白血症和高度水肿，尿圆盘电泳示高分子蛋白尿。下列哪个治疗方案是错误的
   A. 优质蛋白饮食
   B. 严格控制水和钠的摄入
 ->C. 补充血制品
   D. 应用激素和细胞毒药物
   E. 使用利尿剂

700. 男性，7岁。阵发性右上腹绞痛，伴呕吐，发作间歇期症状完全消失。查：体温37.2℃，巩膜无黄染，上腹轻度深压痛，无肌紧张。可能为
   A. 急性胆囊炎
   B. 十二指肠溃疡
   C. 胆石症
 ->D. 胆道蛔虫病
   E. 化脓性胆管炎

701. 男性，4岁。腹部外伤。手术探查发现脾下极有一4 cm裂伤，深1.5 cm，最佳手术方式是
   A. 脾切除术
   B. 脾下极切除术
   C. 脾动脉结扎术
 ->D. 脾修补术
   E. 明胶海绵充填术

702. 患者女，18岁。急性化脓性阑尾炎穿孔行阑尾切除术。术后第4天持续发热伴寒战，偶有呃逆及右上腹痛。查体：T 39.0℃。右下肺呼吸音弱。腹部X线平片：右膈膨隆，可见气液平，肋膈角少量积液。WBC 20×10<sup>9</sup>/L，N 90%。最可能的术后并发症是
   A. 右下肺炎
   B. 右下肺不张
   C. 右侧胸膜炎
 ->D. 右膈下脓肿
   E. 阑尾残株炎

703. 患者男性，35岁。因车祸致脑外伤1h来院急诊，有短暂昏迷史，左侧额颞部着地，头痛，恶心，未呕吐查体：神志清楚，对答切题，四肢活动自如，神经系统（-）。伤后4h患者逐渐出现意识障碍，并很快昏迷。最可能的诊断是
   A. 急性硬膜下血肿
   B. 脑震荡
   C. 脑挫裂伤
   D. 弥漫性轴突损伤
 ->E. 急性硬膜外血肿

704. 男性，44岁。12小时以来呕吐咖啡样物约1000 ml。查体：脉搏128次/分，血压80/45 mmHg。对该患者首要的处理是
   A. 胃镜检查，镜下止血
 ->B. 抗休克治疗
   C. 气管插管术
   D. 上消化道造影
   E. 腹部B超

705. 患者，男性，23岁。面部及双下肢肿5天，尿少，无前驱感染史，过去无明显水肿史。体检：面部及双下肢水肿，BP18.7/12kPa（140/90 mmHg），P90次/分，心肺（-）。血Hb80 g/L，A/G-25/34。尿常规：蛋白（++++），RBC++/HP，WBC+/HP，透明管型+/HP。尿蛋白5 g/24h。临床最可能的诊断是
   A. 急性肾小球肾炎
   B. 慢性肾炎急性发作
 ->C. 肾病综合征
   D. 系统性红斑狼疮
   E. 结节动脉周围炎

706. 患者男，93岁。于夜间3点左右突发腹痛，伴恶心、呕吐，急来就诊。既往有慢支炎、肺气肿、冠心病病史。1个月前曾住院治疗。查体：生命体征平稳。中上腹压痛，局限性肌紧张，轻度反跳痛，中腹部及下腹部软，无压痛。腹部X线平片可见膈下游离气体。根据患者情况，目前处理宜采取
   A. 急诊胃镜检查
   B. 急诊剖腹探查
 ->C. 禁食，胃肠减压、严密观察病情变化
   D. 诊断性腹腔穿刺
   E. 采用腹腔镜微创治疗

707. 患者女，42岁。发现右侧乳房无痛性包块2个月。查体：右乳外上象限皮肤呈橘皮样改变，可扪及一2 cm<sub>x</sub>3 cm大小包块。皮肤发生橘皮样改变表明
   A. 癌肿浸润乳腺管
 ->B. 癌细胞堵塞皮内、皮下淋巴管
   C. 癌肿侵犯Cooper韧带
   D. 乳房充血水肿
   E. 癌肿浸润乳腺小叶腺泡

708. 男性，18岁。因阑尾炎穿孔术后持续发热半个月。右上腹及右肋缘下疼痛，并向右肩部放射，摄片示右侧胸腔积液。考虑
   A. 腹腔感染
 ->B. 右隔下脓肿
   C. 右肺部感染
   D. 阑尾残株炎
   E. 肠间脓肿

709. 女性，25岁。足部浅Ⅱ度烫伤，并发创面感染，细菌培养为铜绿假单胞菌。创面用药首选
   A. 呋喃西林纱布湿敷
   B. 碘甘油
   C. 阿米卡星湿敷
   D. 涂抹湿润烧伤膏
 ->E. 磺胺嘧啶银霜剂涂布

710. 患者男，50岁。上腹B超检查发现肝左内叶一直径约2.5 cm回声增强、边缘锐利的均质光团影。既往有肝炎病史。实验室检查： AFP正常，肝功能正常。处理宜采取
   A. B超引导下穿刺活检
   B. ERCP检查
   C. 选择性肝动脉造影
   D. 剖腹探查
 ->E. 密切观察随访

711. 患儿，男，1岁。突起哭闹不休，阵发性面色苍白发作，但发作间歇嬉逗如常，近1天来大便如果酱样。首先考虑的诊断是
   A. 肠蛔虫病
 ->B. 肠套叠
   C. 肠系膜淋巴结炎
   D. 肠扭转
   E. 急性肠炎

712. 女性，30岁。烧伤后双手背、手指瘢痕增生，各手指及腕关节运动功能障碍，切除瘢痕后最佳的植皮皮片类型为
   A. 头皮刃厚皮片
 ->B. 大腿中厚皮片
   C. 腹部全厚皮片
   D. 上臂全厚皮片
   E. 耳后全厚皮片
