1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
572. 女性，46岁，近1年月经周期不规则，经期延长，经量增多。诊断性刮宫病理诊断：子宫内膜单纯性增生，血常规提示中度贫血。采用哪种治疗方案最佳
   A. 单用雌激素周期治疗
 ->B. 单用孕激素周期治疗
   C. 单用雄激素短期治疗
   D. 雌孕激素序贯用药
   E. 雌孕激素联合用药
解析：该患者为绝经过渡期功血，多为无排卵性，体内有一定水平的雄激素，单用孕激素治疗即可。

573. 30岁妇女，第一胎，妊娠34周，原发性高血压合并子痫前期，3 h前突然腹痛，阴道出血，色鲜红，如月经量。体检：血压70/40 mmHg，宫底在脐上2指，子宫硬，肌壁松弛不完全，胎位不清，胎心音消失。宫颈管未消失，宫颈口未开，最恰当的处理是
   A. 立即扩张宫口，破膜，催产素静脉滴注引产
   B. 立即人工破膜，等待自然分娩
   C. 以抗休克为主，因死胎，不急于引产
   D. 抗休克，尽快剖宫产
 ->E. 立即床边做B型超声检查，做好术前准备

574. 孕妇，30岁， G2P1，40+周妊娠，末次超声提示胎儿估计体重4200 g，因规律性腹痛12 h入 院。8 h后，因产程进展不佳，给予静脉滴注缩宫素加强宫缩，2 h 后腹痛呈持续性不缓解，孕妇烦躁不安，面色苍白，心率110次/分，胎心率100次/分，子宫张力高，耻骨弓上1指处压痛明显。最大可能的诊断是
 ->A. 先兆子宫破裂
   B. 子宫破裂
   C. 胎盘早剥
   D. 强直性宫缩
   E. 羊水栓塞

575. 26岁，初产妇，孕41周，因臀位行臀牵引术，胎儿娩出后5 min突发阴道多量出血约400 ml，检查血压100/60 mmHg，脉搏100次/分，宫底脐平。此时最适宜的处理是
   A. 静滴缩宫素
   B. 检查软产道有无损伤
 ->C. 行人工剥离胎盘
   D. 按摩子宫
   E. 纱布填塞宫腔

576. 女性，32岁。子宫下段剖宫产术后6年，术后痛经近6年，且逐渐加剧。妇科检查：子宫后位，活动欠佳，正常大小，后穹隆可触及多个质硬小结节，触痛明显。其诊断首先考虑
   A. 慢性盆腔炎
   B. 卵巢癌
   C. 盆腔结核
 ->D. 子宫内膜异位症
   E. 子宫腺肌病

577. 女性55岁，G<sub>4</sub>P<sub>2</sub>，绝经1年后，白带量多2个月，偶尔性交出血。检查：宫颈中度糜烂，子宫常大，双附件正常，首选以下哪项诊疗程序
   A. 阴道镜-宫颈细胞学-宫颈活检
 ->B. 宫颈细胞学-阴道镜-宫颈活检
   C. 宫颈活检-阴道镜-宫颈细胞学
   D. B超-刮宫检查-宫腔吸片细胞学检查
   E. 宫腔吸片细胞学检查-B超-诊断性刮宫

578. 孕妇30岁，G<sub>1</sub>P<sub>0</sub>，孕37周，自觉胎动减少5天来院，NST无反应，OCT（+），E/C小于10，下一步处理
 ->A. 尽快终止妊娠
   B. 吸氧
   C. 左侧卧位
   D. 加强营养
   E. 注意休息

579. 初产妇，足月妊娠，6时开始规律性子宫收缩，宫口开始扩张，下午18时检查，宫口扩张约1.5 cm，晚上22时检查：宫口扩张2 cm，目前可诊断为
   A. 正常产程
 ->B. 潜伏期延长
   C. 活跃期延长
   D. 活跃期停滞
   E. 第二产程延长

580. 某女，染色体核型46，XX，血雌激素呈低值，血雄激素呈高值，尿17-酮即17α-羟孕酮呈高值，最可能的诊断是
   A. 多囊卵巢综合征
 ->B. 先天性肾上腺皮质增生
   C. 雄激素不敏感综合征
   D. 真两性畸形
   E. 垂体性闭经

581. 产妇G<sub>2</sub>P<sub>0</sub>，停经41<sup>+5</sup>周，无腹痛及阴道流液。产科检查：宫高35 cm，腹围102 cm，胎位LOA，宫颈Bishop评分3～4分，骨盆内测量无异常，B超示AFV 5.0 cm，双顶径9.3 cm。胎盘成熟度3级，胎动正常，以下处理错误的是
   A. 核实孕周
   B. 检查胎盘功能
 ->C. 自数胎动，等待自然临产
   D. 前列腺素促宫颈成熟
   E. 催产素引产
解析：尽早处理，力求避免过期妊娠的发生。如Bishop评分＜7分，应予促宫颈成熟治疗，可用普拉睾酮、缩宫素或前列腺素促宫颈成熟。

582. 未婚女性，25岁，初潮14岁，近3年月经周期逐渐延长，内分泌激素检查结果：LH/FSH＞30。初步诊断应为
   A. 闭经
 ->B. 多囊卵巢综合征
   C. 功血
   D. 卵巢早衰
   E. 垂体功能低下
解析：该病例符合多囊卵巢综合征的特征：月经稀发，LH水平升高，而FSH则相当于早卵泡期水平，因此LH/FSH＞2～3。

583. 36周，双胎妊娠，双羊膜囊，临产6小时入院，胎膜已破，宫口开全，经阴道分娩时，第一胎儿头位，娩出后未及时固定第二胎儿成横位，此时正确的处理是
   A. 立即行剖宫产终止妊娠
   B. 行外倒转术，使第二胎儿转成头先露娩出
   C. 行内倒转术，使第二胎儿转成头先露娩出
   D. 行外倒转术，使第二胎儿转成臀先露娩出
 ->E. 行内倒转术，使第二胎儿转成臀先露娩出
解析：肩先露，分娩期应根据胎产次、胎儿大小、胎儿是否存活、宫颈扩张程度、胎膜是否破裂及有无并发症，综合判断决定分娩方式。①初产妇足月活胎，龙论宫口扩张程度、胎膜是否破裂，均应行剖宫产术。②经产妇足月活胎，首选剖宫产。若胎膜已破，羊水未流尽，宫口开大5 cm以上，胎儿不大，可在全麻下行内倒转术，以臀位分娩。③双胎妊娠经阴道分娩时，第一胎儿娩出后未及时固定第二胎儿胎位，第二胎儿形成肩先露，应破膜后，行内倒转术，使第二胎儿转成臀位，牵双足娩出。④出现先兆子宫破裂或子宫破裂征象，无论胎儿死活均应行剖宫产术。⑤胎儿已死亡、

584. 患者，刘某，宫颈活检示：子宫颈鳞状细胞癌；盆腔检查示：肿瘤超过宫颈侵犯宫旁但未达盆壁，阴道侵犯未达下1/3，此患者的临床分期为
   A. ⅠA期
   B. ⅠB期
   C. ⅡA期
 ->D. ⅡB期
   E. Ⅲ期

585. 孕妇38岁，孕23周，既往曾生育一唐氏儿，要求产前诊断，拟行脐静脉穿刺，关于脐静脉穿刺错误的是
 ->A. 脐静脉穿刺的难度低，流产率低
   B. 脐静脉穿刺可用于CVS或羊水穿刺后发现有染色体嵌合型而需要进一步确认时
   C. 脐静脉穿刺是其他方法细胞培养失败时的补救措施
   D. 脐静脉穿刺是妊娠中晚期采用的产前诊断技术
   E. 脐静脉穿刺可用于胎儿的染色体核型分析

586. 初产妇，以往月经规律，停经42周，无腹痛入院。入院B超示臀位，BPD：9.3 cm，羊水指数10 cm，入院后处理正确的是
   A. 催产素引产
 ->B. 剖宫产终止妊娠
   C. 普拉睾酮促宫颈成熟后，催产素引产
   D. 水囊引产
   E. 人工破膜+催产素

587. 患者女性，48岁，因不规则阴道流血前来就诊。合适的初步处理措施为
 ->A. 子宫内膜活检
   B. 服避孕药试验
   C. 注射甲羟孕酮
   D. 转外科
   E. 骨盆检查和巴氏涂片检查

588. 女，28岁，于妊娠早期有早孕反应，尿hCG阳性。于妊娠17周时感有胎动。B超示单胎，头位，见心脏搏动。现为妊娠26周。近2周来自觉胎动停止，腹部不再增大，来门诊检查。宫底平脐，未闻及胎心，复查B超未见胎心搏动和胎动，临床诊断是
   A. 过期流产
   B. 习惯性流产
 ->C. 死胎
   D. 死产
   E. 葡萄胎

589. 孕妇，28岁， G<sub>1</sub>P<sub>0</sub>，36周妊娠，因明显腹胀就诊。检查：胎方位不清，胎心率130次/分，胎心音弱。B型超声检查提示：单胎，头位，羊水过多。次日行破膜引产术，术中15 min内流出羊水2000 ml，色清；破膜后10 min患者有一阵阴道流血，约 100 ml，诉腹痛；20 min后又有阴道流血，约150 ml，血压11.97/ 6.65 kPa（90/50 mmHg）。考虑诊断为
 ->A. 胎盘早剥
   B. 前置胎盘
   C. 子宫破裂
   D. 胎盘边缘血窦破裂
   E. 正常临产

590. 女性，50岁，因右侧卵巢肿瘤10 cm行手术治疗，术中探查肿瘤完整，行右附件切除后送快速病理检查报告为“交界性乳头状囊腺瘤”。手术方式为
   A. 肿瘤切除术+大网膜活检
   B. 患侧附件切除术+盆壁层腹膜活检
   C. 子宫+患侧附件切除术
 ->D. 子宫+双附件切除术
   E. 患侧附件切除+对侧卵巢剖视

591. 初产妇，35岁，妊娠32周，检查为臀位，子宫敏感，胎心率140次/分，突然阴道流水，无臭味，检查pH试纸变蓝色，不正确的处理是
   A. 抗生素预防感染
   B. 用地塞米松促胎肺成熟
   C. 抬高床脚
   D. B型超声检查
 ->E. 立即行剖宫产

592. 孕妇，36岁，孕20周，做家务劳动后感胸闷气短，近1周夜间经常咳嗽、咳痰不能平卧。检查：心率120次/分，心界向左扩大，心尖区可闻Ⅲ级收缩期杂音，双肺底闻小水泡音，双下肢水肿（+），最适宜的处理是
   A. 加强产前监护
   B. 限制食盐摄入
   C. 立即终止妊娠
   D. 控制心衰继续妊娠
 ->E. 控制心衰后终止妊娠

593. 已婚妇女，结婚3年未孕，现停经52天，阴道少量流血4天，今晨突感下腹剧痛，伴明显肛门坠胀感，血压60/40 mmHg，脉搏120次/分。叩诊：移动性浊音阳性。妇科检查；宫颈举痛明显，子宫稍大稍软，右附件区有明显触痛。Hb80 g/L。本例恰当处置应是
   A. 立即行清宫术
   B. 输液输血，观察病情进展
   C. 立即行剖腹探查术
 ->D. 输液输血同时行剖腹探查术
   E. 待纠正休克后行剖腹探查术
解析：根据病史及血压脉搏等生命体征患者有内出血并处于失血性休克状态，故应在输液输血同时行剖腹探查术。

594. 患者，女性，25岁，孕1产1，由于滞产压迫致尿瘘，漏尿开始出现时间多是在
   A. 分娩后立即出现
 ->B. 产后3～7天
   C. 产后10～14天
   D. 产后1个月
   E. 产后2个月

595. 女性44岁，孕1产1。查体发现宫颈外口可见一直径约1 cm赘生物，色红、舌形、光滑、质软，宫颈薄层液基细胞学检查（-），HPV检测（-）。初步考虑为宫颈息肉，以下治疗哪项正确
   A. 激光
   B. 电灼
   C. 息肉切除术
 ->D. 息肉切除并送病理检查
   E. 宫颈锥切

596. 女性，32岁，置宫内节育环3年，停经50天，尿hCG（+）,B超提示"带环妊娠"，直选用下面哪种方法进行治疗
 ->A. 负压吸引术+取环术
   B. 钳刮术
   C. 米非司酮+米索前列醇引产
   D. 利凡诺（依沙吖睫）羊膜腔注射引产
   E. 剖宫取胎术

597. 某50岁女性患者，因外阴瘙痒1月余就诊，无烧灼感、尿频尿痛、白带增多等症状，首先考虑的诊断是
   A. 外阴阴道炎
 ->B. 外阴鳞状上皮增生
   C. 外阴癌
   D. 外阴硬化性苔藓
   E. 药物过敏或化学性刺激

598. 患者女，27岁，婚后2年不孕，妇科检查发现右卵巢肿块，B超显示肿块6 cm、囊实性、囊内有乳头。手术探查左侧卵巢正常，右卵巢肿块完整剥除，冰冻病理为“交界性浆液性囊腺瘤”。术式的选择为
   A. 肿瘤切除术+大网膜活检
 ->B. 患侧附件切除术
   C. 子宫+患侧附件切除术
   D. 子宫+双附件切除术
   E. 患侧附件切除+对侧卵巢剖视

599. 女，23岁，孕35周，近两周出现乏力、食欲不振，三天前出现眼黄、肤黄，无皮肤瘙痒，生化全套提示谷丙转氨酶、谷草转氨酶、直接胆红素、间接胆红素、尿素氮、肌酐、甘油三酯均显著升高，总胆汁酸正常；凝血五项提示APTT、PT均延长；肝炎全套结果为阴性。其最可能的诊断是
   A. 妊娠合并肝功能损害
   B. 妊娠期肝内胆汁瘀积症
 ->C. 妊娠期急性脂肪肝
   D. 妊娠合并重症肝炎

600. 患者，25岁，孕38周，在门诊检查时主诉自觉胎动减少1天，查胎心率148次/分，为了解胎儿在宫内情况首先应做下列哪项检查
   A. 胎儿心电图
   B. CST试验
   C. 胎儿头皮血pH测定
 ->D. NST试验
   E. 羊膜镜检查

601. 女性患者，55岁，反复外阴瘙痒3年，久治不愈，为明确诊断，可行
   A. 阴道镜检查
   B. 外阴PCR检查
 ->C. 外阴活检
   D. 碘实验
   E. 药物实验性治疗

602. 女性，16岁。于15岁初潮，行经第1天疼痛最剧，持续2～3天缓解，伴恶心呕吐。肛门检查：子宫正常大小，双侧附件（-），应诊断为
   A. 青春期功能失调性子宫出血
   B. 更年期功能失调性子宫出血
   C. 更年期综合征
 ->D. 原发性痛经
   E. 继发性痛经
解析：原发性痛经的疼痛多自月经来潮后开始，最早出现在经前12小时，行经第1天疼痛最剧，常为下腹阵发性绞痛和腰骶部痛。持续2～3天缓解。有时伴发恶心、呕吐、腹泻、头晕、乏力等症状，严重时面色发白、出冷汗，甚至晕厥。妇科检查无异常发现。

603. 初产妇，孕39周，规律宫缩16 h，现宫口开大3 cm后1 h，产妇自觉疼痛轻，胎心143次/分，胎膜未破，先露头，S=0，宫缩20~30 s/5~6 min，弱，规律。此产妇目前宫缩属于
   A. 不协调性宫缩乏力
   B. 子宫收缩过强
 ->C. 协调性子宫收缩乏力
   D. 子宫痉挛性狭窄环
   E. 病理性缩复环

604. 女性，24岁，月经规律，现停经52天，B超证实宫内妊娠。在接受人工流产术过程中出现心动过缓、血压下降、面色苍白、出汗、胸闷等症状。以下措施最恰当的是
   A. 终止手术，实施抢救
   B. 立即输液并输血
   C. 肌注肾上腺素
   D. 静脉滴注间羟胺
 ->E. 静脉注射阿托品
解析：人工流产综合征主要是子宫颈或者子宫受到机械刺激引起迷走神经兴奋所致。阿托品拮抗M样受体作用，提高心率及血压，减少汗腺分泌等。

605. 33岁，第1胎，孕36周，发现血压升高3周，今晨突然腹痛，诉为持续性，阵发加重，血压150/98 mmHg，心率112次/分，尿蛋白（++），阴道有少量出血。体格检查最可能发现的子宫体征是
   A. 子宫有规则阵发收缩，宫缩间期子宫完全放松
   B. 子宫局部隆起似包块状有压痛
   C. 子宫上段硬，下段膨隆压痛，交界处有环状凹陷
 ->D. 子宫不规则收缩，较硬，压痛，宫缩间歇不完全放松
   E. 子宫柔软，有压痛，无宫缩
解析：考虑子痫前期引起的胎盘早剥，表现为子宫压痛，较硬，宫缩间歇不完全放松。

606. 孕妇，孕39周，妊娠期糖尿病，血糖控制欠佳，餐后2 h血糖 8.0 mmd/L，超声估计胎儿体重4100 g，该患者终止妊娠的方式和时机，建议
   A. 等待自然发动后阴道试产
   B. 建议孕40周前给予积极引产
   C. 建议孕40前剖宫产终止妊娠
 ->D. 孕41周后剖宫产
   E. 孕41周后引产

607. 女性，30岁，孕1产0，月经规则，4～6天/33天，拟妊娠生育，末次月经为3月20日，推算其下次排卵期大约为
   A. 2016/4/15
   B. 2016/4/1
 ->C. 2016/4/8
   D. 2016/4/4
   E. 2016/3/30

608. 患者40岁，孕15周，要求排除唐氏儿，用于产前诊断的羊膜腔穿刺的时机正确的是
   A. 妊娠10～14周
 ->B. 妊娠15～22周
   C. 妊娠20～24周
   D. 妊娠24周以后

609. 女性，55岁，绝经2年，宫颈涂片示HSIL，阴道镜检查不满意，下一步的处理是
   A. 宫腔镜检查
   B. B超检查
   C. CT检查
   D. 宫颈活检钳多点活检
 ->E. 宫颈管搔刮+宫颈多点活检
解析：阴道镜检查不满意指无法完整观察到转化区，绝经后女性宫颈生理性鳞柱交界内移至宫颈管内，导致阴道镜检查不满意，应行颈管搔刮取材，送检病理检查。

610. 女性，妊娠2个月，出现难免流产，首要治疗原则是
